id,gender,age,recency,frequency,amount,tau,treatment_rate,treatment,y0,y1,outcome
8708,f,39,9,6,13087,1056,0.0472982017394181,0,13087,14143,12834
8709,f,18,19,4,9698,334,0.6132399317000107,1,9698,10032,9642
8710,f,18,3,2,7598,245,0.33187777684260833,0,7598,7843,7843
8711,m,25,16,4,9384,1058,0.4949364896061419,1,9384,10442,10251
8712,m,21,3,3,8897,559,0.550399980105825,0,8897,9456,8891
8713,m,26,8,5,12533,842,0.5000538365353386,0,12533,13375,11963
8714,m,27,16,9,14277,480,0.2968262243207495,1,14277,14757,15207
8715,m,29,15,9,13616,765,0.320376285241343,0,13616,14381,13552
8716,f,43,2,4,12096,1048,0.0,0,12096,13144,11953
8717,m,51,10,6,11828,340,0.022404847513412787,0,11828,12168,11921
8718,f,18,16,3,10468,331,0.69959442219863,1,10468,10799,10370
8719,m,31,13,3,11179,1670,0.2872439311437502,0,11179,12849,10244
8720,f,41,3,2,8997,1519,0.017893873902230677,1,8997,10516,10706
8721,m,42,8,5,10470,1457,0.015479381959661323,0,10470,11927,10573
8722,m,18,13,6,13763,151,0.5085199573129033,0,13763,13914,13828
8723,f,30,8,8,14068,674,0.2491621999870203,0,14068,14742,13561
8724,m,39,3,6,12280,1347,0.051289129659205214,0,12280,13627,12146
8725,f,22,11,9,14777,195,0.3609164010236409,0,14777,14972,14160
8726,m,24,22,2,9120,910,0.5173880809209777,1,9120,10030,9079
8727,m,39,10,1,8678,1651,0.017654568623427368,0,8678,10329,7332
8728,f,25,0,4,9999,1078,0.5499439031500922,1,9999,11077,10452
8729,m,36,2,7,13518,988,0.07290280697649484,0,13518,14506,13710
8730,f,47,16,5,10671,800,0.018469358327001334,0,10671,11471,11362
8731,m,32,13,3,10546,1857,0.2612531326928438,0,10546,12403,9320
8732,f,27,12,6,12248,1010,0.47566463788309077,1,12248,13258,13816
8733,f,37,13,1,7736,1478,0.04399116054813484,0,7736,9214,7345
8734,f,34,20,4,10803,1912,0.18213668306187727,0,10803,12715,10174
8735,m,25,14,2,8318,926,0.37356384510825513,0,8318,9244,8451
8736,m,31,8,4,10073,1810,0.24765619389385699,1,10073,11883,12531
8737,m,38,9,7,13963,780,0.036035994474152705,0,13963,14743,13336
8738,f,33,12,5,13079,1140,0.19742662273427455,1,13079,14219,14589
8739,m,21,0,6,11422,530,0.7283645890475813,1,11422,11952,11960
8740,f,38,22,7,13750,855,0.03555029849023663,0,13750,14605,13991
8741,f,28,8,5,11956,1187,0.44859203364481837,1,11956,13143,12892
8742,f,27,4,2,8652,1223,0.3351797316716295,0,8652,9875,7676
8743,m,18,10,4,8754,309,0.5175461658217079,0,8754,9063,9754
8744,m,44,6,5,10626,1184,0.0,0,10626,11810,9746
8745,m,35,22,8,13151,1140,0.11752594561690964,0,13151,14291,13135
8746,f,26,10,6,10295,1206,0.5422506977685466,1,10295,11501,10976
8747,f,36,12,4,12238,1494,0.09748596824660971,0,12238,13732,12523
8748,m,41,14,10,15397,312,0.0,0,15397,15709,15245
8749,m,39,6,3,10033,1811,0.02697516462852096,0,10033,11844,10496
8750,f,27,9,4,8724,1235,0.3214832783014727,0,8724,9959,9497
8751,m,21,12,5,9535,590,0.6019908935049725,1,9535,10125,10017
8752,m,24,13,7,12797,608,0.564725783374488,0,12797,13405,13111
8753,f,34,3,5,13534,981,0.14440126283708724,0,13534,14515,14155
8754,m,18,5,8,12399,242,0.724322129259731,0,12399,12641,11864
8755,m,48,0,4,11661,601,0.0,0,11661,12262,12292
8756,f,33,6,5,11306,1767,0.23128304656898382,0,11306,13073,12299
8757,m,41,11,4,11048,1501,0.041847874714678976,0,11048,12549,10545
8758,f,21,16,7,13703,275,0.5134766221965519,0,13703,13978,12900
8759,f,32,14,5,11400,1689,0.23430412327431466,0,11400,13089,11868
8760,m,24,5,10,13986,386,0.4360465564474611,0,13986,14372,13772
8761,m,18,7,7,13664,157,0.5645160755610659,1,13664,13821,13734
8762,f,36,15,8,13911,839,0.09815591347260816,0,13911,14750,13579
8763,m,43,8,9,15465,251,0.0035521880010557826,0,15465,15716,16315
8764,m,54,9,4,10030,215,0.0,0,10030,10245,9310
8765,m,33,18,1,8677,1777,0.1283444793286434,0,8677,10454,9154
8766,f,26,15,5,11719,1023,0.537180539753076,1,11719,12742,12067
8767,f,39,4,6,12962,1102,0.015211391058689017,0,12962,14064,12753
8768,m,23,7,6,12171,628,0.6761081526729141,0,12171,12799,11339
8769,m,24,20,7,12344,693,0.6107416788674304,1,12344,13037,14067
8770,f,29,12,5,11606,1380,0.38101908646151783,0,11606,12986,11762
8771,f,21,18,4,9952,596,0.6354195020374841,1,9952,10548,10139
8772,m,21,3,4,11214,547,0.7219674335838551,0,11214,11761,10917
8773,f,45,13,8,13671,504,0.002138912574828608,0,13671,14175,13736
8774,m,21,14,3,8065,487,0.4276274428488426,1,8065,8552,8466
8775,m,36,17,6,11033,1866,0.09914989872742785,0,11033,12899,10773
8776,f,22,18,4,8862,658,0.488906184257113,1,8862,9520,9563
8777,m,29,8,6,12911,990,0.3387806913175652,0,12911,13901,12761
8778,m,34,12,3,8961,1878,0.1412178143528657,1,8961,10839,11367
8779,m,31,9,1,7624,1334,0.11751776392486026,0,7624,8958,8954
8780,m,22,14,5,11366,632,0.7366466063266458,1,11366,11998,12260
8781,f,39,1,1,7440,1269,0.0,0,7440,8709,8394
8782,m,31,0,6,12822,1153,0.24548500860087097,0,12822,13975,12866
8783,f,18,12,5,11097,313,0.7695305977705638,0,11097,11410,11369
8784,f,39,10,9,12059,1422,0.04721987376505503,0,12059,13481,11726
8785,f,31,12,6,12136,1396,0.28887169961475967,1,12136,13532,13494
8786,f,28,8,8,14023,593,0.3027538805767817,0,14023,14616,14613
8787,f,33,17,9,15887,279,0.0636899823685843,0,15887,16166,15693
8788,m,18,13,3,10708,325,0.7266983994756214,0,10708,11033,11645
8789,m,22,7,6,10763,680,0.7160899832550747,1,10763,11443,11766
8790,f,32,9,4,10569,1854,0.25369151963838055,0,10569,12423,10588
8791,m,20,0,6,10443,492,0.7421742227253323,0,10443,10935,9815
8792,m,37,24,7,14611,590,0.061390444000706756,0,14611,15201,14752
8793,m,18,8,6,12614,227,0.6407818366631157,1,12614,12841,12492
8794,m,28,14,8,13956,611,0.31585486512178507,0,13956,14567,13867
8795,m,44,12,5,11946,976,0.0,0,11946,12922,12432
8796,m,21,10,6,13166,338,0.5861012251715392,0,13166,13504,12766
8797,m,30,11,6,13483,863,0.23041212998228575,0,13483,14346,13547
8798,f,21,0,3,10454,588,0.7482921399168492,1,10454,11042,11393
8799,f,18,14,4,10539,329,0.7109155023527814,1,10539,10868,10596
8800,m,36,7,5,11483,1750,0.10827603172535027,0,11483,13233,11459
8801,f,29,14,2,9421,1574,0.3425415425805352,0,9421,10995,9149
8802,m,31,14,5,12414,1300,0.2844253549406527,0,12414,13714,12253
8803,m,33,9,4,10739,1888,0.21902386612736027,0,10739,12627,10429
8804,m,22,17,6,11674,599,0.730774986146916,0,11674,12273,12226
8805,m,18,21,1,7648,248,0.34190030005717814,0,7648,7896,6960
8806,f,32,5,5,13209,1056,0.1751403221096184,0,13209,14265,12653
8807,m,45,7,3,9343,1055,0.014609819094516287,0,9343,10398,9536
8808,f,33,0,6,12248,1462,0.16218900487296842,0,12248,13710,11785
8809,f,18,10,5,11271,305,0.6749195289831035,1,11271,11576,11924
8810,m,59,12,6,12361,41,0.0,0,12361,12402,12680
8811,m,18,5,6,11232,307,0.722820549723482,1,11232,11539,11266
8812,m,18,9,8,14723,95,0.3946711468281122,0,14723,14818,14302
8813,m,48,22,6,12838,446,0.014434370212161818,0,12838,13284,12774
8814,f,22,12,7,13154,401,0.6094409665065762,1,13154,13555,13325
8815,m,25,9,3,11240,986,0.6438703183397797,1,11240,12226,12388
8816,f,42,12,3,9650,1469,0.038741815263372274,0,9650,11119,9376
8817,f,47,12,4,10831,789,0.0,0,10831,11620,10620
8818,m,28,0,4,9612,1467,0.38953870835317883,0,9612,11079,10150
8819,m,37,9,5,11655,1666,0.07583335381046985,0,11655,13321,11371
8820,f,48,7,8,12444,501,0.020522234640428565,0,12444,12945,12338
8821,f,18,18,0,3801,40,0.02642301888160562,0,3801,3841,3625
8822,m,33,8,9,14789,537,0.12317389765307152,0,14789,15326,15091
8823,m,26,20,5,11224,1111,0.5540207785724767,1,11224,12335,12372
8824,f,18,15,6,11612,289,0.7505651033823917,0,11612,11901,12145
8825,m,39,18,6,13256,994,0.06399866518453975,0,13256,14250,13127
8826,f,42,6,5,10797,1423,0.0648728491384079,0,10797,12220,10643
8827,m,36,11,5,11981,1588,0.1087904479977031,1,11981,13569,13309
8828,m,36,22,4,11601,1714,0.09893260388624457,0,11601,13315,11657
8829,m,27,1,0,2091,42,0.0056799644635882685,0,2091,2133,2280
8830,m,33,14,4,11527,1705,0.16562718916888183,0,11527,13232,11576
8831,m,36,17,3,8526,1769,0.05454087209625706,0,8526,10295,8845
8832,f,53,9,5,11416,241,0.0,0,11416,11657,11617
8833,m,18,12,3,8143,279,0.43535287773442555,0,8143,8422,8448
8834,m,24,18,5,12653,635,0.5993274522996577,0,12653,13288,13706
8835,m,28,20,0,2699,78,0.028587724007064903,0,2699,2777,2577
8836,m,35,1,2,7419,1392,0.03641988630459023,0,7419,8811,7815
8837,f,45,17,5,11901,877,0.010562446235126198,0,11901,12778,11473
8838,m,40,3,9,14128,656,0.021018052048158195,0,14128,14784,14938
8839,f,27,14,8,12241,1011,0.484027998550903,0,12241,13252,12279
8840,m,36,0,6,13017,1187,0.0808856785355226,0,13017,14204,13206
8841,m,29,1,3,8052,1305,0.2560339193875736,1,8052,9357,9886
8842,f,33,24,3,9040,1859,0.13645330054061416,1,9040,10899,11639
8843,m,40,15,5,11308,1551,0.030951564759711267,0,11308,12859,11252
8844,f,18,0,3,9912,335,0.6708529561272316,0,9912,10247,9650
8845,m,27,4,6,13435,691,0.3654243611486889,0,13435,14126,12629
8846,m,20,5,7,13533,246,0.5591192535286533,0,13533,13779,14240
8847,m,21,7,8,13111,344,0.6160703254199771,0,13111,13455,12914
8848,m,24,5,4,8354,819,0.4289554995588556,1,8354,9173,8478
8849,f,18,1,0,3480,32,0.014687297263848787,0,3480,3512,2915
8850,m,43,6,1,8807,1249,0.0,0,8807,10056,9121
8851,m,56,9,4,11649,112,0.008029826100950798,0,11649,11761,11767
8852,m,32,4,5,12128,1460,0.20701811256079833,0,12128,13588,12801
8853,m,46,15,4,9864,947,0.02141088271946747,0,9864,10811,10273
8854,m,23,3,8,12906,509,0.5638990368627006,1,12906,13415,13552
8855,m,43,13,5,13550,661,0.0020406046000856883,0,13550,14211,13734
8856,m,25,12,5,10146,1076,0.6001841979827404,0,10146,11222,10687
8857,m,24,7,6,11079,885,0.6873456417839824,0,11079,11964,11116
8858,m,32,6,7,13992,770,0.1829595138626294,0,13992,14762,12797
8859,f,48,16,6,12070,551,0.0,0,12070,12621,12190
8860,m,42,5,3,8990,1401,0.01776542380692467,0,8990,10391,8313
8861,m,45,16,4,12330,791,0.0,0,12330,13121,13128
8862,m,18,10,7,12803,215,0.6253521112720609,1,12803,13018,13441
8863,f,19,17,8,12761,267,0.655108737155261,0,12761,13028,13660
8864,m,25,1,8,12463,764,0.6010037048572752,1,12463,13227,12736
8865,f,45,9,1,9298,1052,0.012564808177349123,0,9298,10350,9488
8866,m,37,6,4,10961,1847,0.07498399927620489,0,10961,12808,9990
8867,f,18,20,7,13646,158,0.5430389037726614,1,13646,13804,14268
8868,f,27,11,5,12326,990,0.456456724431109,1,12326,13316,13131
8869,m,23,7,3,9072,786,0.5438261951933817,1,9072,9858,9660
8870,m,29,3,7,12580,1097,0.4057791379311344,1,12580,13677,12866
8871,m,53,4,6,13571,131,0.014113201225122066,0,13571,13702,13591
8872,m,28,13,6,13630,702,0.3349667298373653,0,13630,14332,13633
8873,m,26,14,2,6907,720,0.1893917027508431,0,6907,7627,7133
8874,m,18,20,4,10623,328,0.6865487709255149,1,10623,10951,11621
8875,m,38,10,3,9945,1891,0.06202122032374068,1,9945,11836,11475
8876,f,29,0,3,8914,1505,0.29663248316819724,0,8914,10419,9485
8877,f,21,12,7,12846,376,0.642710923734339,0,12846,13222,12808
8878,f,37,13,8,12668,1302,0.07850484798989907,1,12668,13970,14567
8879,f,26,7,7,12487,853,0.5303194267731388,1,12487,13340,13501
8880,m,28,14,2,7971,1183,0.27632259725945396,0,7971,9154,7834
8881,f,20,11,5,10656,485,0.7258014268968955,1,10656,11141,10983
8882,m,18,13,5,10891,320,0.7047483811321784,1,10891,11211,11746
8883,f,38,2,4,10078,1890,0.06204581088923081,0,10078,11968,10290
8884,m,34,13,2,10300,1975,0.17672253081743958,0,10300,12275,9841
8885,f,33,1,5,12182,1487,0.19949344191279977,0,12182,13669,12098
8886,m,29,4,4,12397,1154,0.37778197234862043,0,12397,13551,12872
8887,f,24,11,2,8344,818,0.4266180004570941,1,8344,9162,9015
8888,m,31,7,4,10360,1796,0.2959495320739747,0,10360,12156,10736
8889,m,37,7,3,11628,1675,0.09891712631321752,0,11628,13303,12166
8890,f,34,10,2,8364,1722,0.12403669218319727,0,8364,10086,9173
8891,m,23,10,8,13219,457,0.5866569854933177,1,13219,13676,13474
8892,f,40,1,5,12474,1210,0.05745527338729277,0,12474,13684,12621
8893,f,31,8,7,12000,1441,0.27621169275115437,0,12000,13441,12174
8894,f,30,15,3,10522,1685,0.34350559763548244,0,10522,12207,11068
8895,f,24,12,3,10126,946,0.6214416852558942,1,10126,11072,10678
8896,m,25,22,7,13997,438,0.38874190382599183,1,13997,14435,14914
8897,f,32,13,7,13945,786,0.166246945867001,0,13945,14731,13730
8898,f,18,19,4,11298,304,0.7779160927263049,1,11298,11602,11437
8899,m,26,2,7,12808,775,0.5055069180191685,0,12808,13583,12714
8900,f,25,9,7,12079,842,0.5995906459242786,1,12079,12921,12506
8901,m,28,3,3,11701,1251,0.45750234196626083,1,11701,12952,12796
8902,m,33,5,4,9537,1930,0.18208708380093827,0,9537,11467,9976
8903,m,18,20,4,8844,313,0.49836140831483366,1,8844,9157,8875
8904,f,47,0,7,13680,382,0.0,0,13680,14062,14127
8905,m,30,16,6,13855,741,0.21176714680339012,0,13855,14596,13064
8906,f,36,13,4,11142,1841,0.12938958436328085,0,11142,12983,11346
8907,m,39,14,6,13470,917,0.026261500224607937,0,13470,14387,13891
8908,m,48,8,7,11348,634,0.013640233175974155,0,11348,11982,11124
8909,f,32,18,8,13334,1009,0.1957427445532972,0,13334,14343,12694
8910,m,21,11,4,8663,542,0.505226730895835,1,8663,9205,9667
8911,m,18,13,4,10830,322,0.7366877592460601,1,10830,11152,10678
8912,m,35,0,3,8624,1808,0.08431219671511145,0,8624,10432,8800
8913,m,27,3,5,10372,1335,0.45941337324822584,0,10372,11707,9953
8914,f,46,7,6,12971,574,0.0,0,12971,13545,12853
8915,m,23,13,5,12262,614,0.6528218309119127,1,12262,12876,14037
8916,f,20,2,4,10137,497,0.7022341701383555,1,10137,10634,11315
8917,m,19,0,8,13618,196,0.5666821198699155,0,13618,13814,13636
8918,f,53,10,7,13439,138,0.031116951279347226,0,13439,13577,13482
8919,m,46,4,5,11567,822,0.00879749030699619,0,11567,12389,11117
8920,m,20,11,4,9295,486,0.5841622043402941,1,9295,9781,9211
8921,f,27,8,3,10265,1340,0.46984524109982234,1,10265,11605,11748
8922,m,26,13,3,10261,1207,0.5272187454882337,0,10261,11468,10835
8923,m,18,1,6,12507,235,0.672864422988602,1,12507,12742,12090
8924,f,29,6,4,11063,1498,0.4232533122517243,0,11063,12561,11103
8925,f,37,8,9,13431,1003,0.07469826469586872,0,13431,14434,13420
8926,m,31,15,7,13735,824,0.18566365781438204,0,13735,14559,13797
8927,f,27,6,4,10694,1308,0.470695191913156,0,10694,12002,11162
8928,f,26,10,5,11039,1138,0.5492617155825826,1,11039,12177,12253
8929,f,26,3,6,11955,974,0.5891004627926952,0,11955,12929,12300
8930,f,32,13,2,8213,1593,0.14524221781855823,0,8213,9806,7646
8931,m,44,14,6,13344,644,0.0,0,13344,13988,12914
8932,f,26,9,4,9371,1189,0.4860822375956542,1,9371,10560,10785
8933,m,22,6,2,7472,498,0.33140163283048674,0,7472,7970,7297
8934,m,21,6,5,10880,569,0.7144821242694176,1,10880,11449,12796
8935,m,49,8,3,11368,535,0.0,0,11368,11903,11135
8936,m,49,13,5,12629,402,0.0,0,12629,13031,13717
8937,m,30,8,4,9343,1676,0.27259277123797165,0,9343,11019,8733
8938,m,31,17,4,12070,1418,0.30955988804281354,1,12070,13488,13103
8939,f,28,9,6,13528,731,0.3347977005080546,0,13528,14259,13783
8940,f,19,3,5,9975,411,0.6776973897648301,0,9975,10386,9689
8941,m,30,20,6,10124,1711,0.34868613324979125,0,10124,11835,9894
8942,f,18,6,4,10063,335,0.6812415502819816,1,10063,10398,10190
8943,f,22,4,5,12253,527,0.6948976809621282,1,12253,12780,12937
8944,m,25,7,4,12027,853,0.5592465271579857,0,12027,12880,11506
8945,m,41,17,7,12474,1130,0.03410815756514721,0,12474,13604,11725
8946,f,31,15,3,11493,1593,0.2847051183783097,0,11493,13086,11326
8947,m,20,13,6,9848,498,0.6709333076414858,0,9848,10346,9890
8948,m,41,12,5,11493,1408,0.03686252924204388,0,11493,12901,10086
8949,m,29,12,1,6907,950,0.12747523280323841,0,6907,7857,6042
8950,f,20,12,4,11317,450,0.7699519764009097,1,11317,11767,12692
8951,m,36,12,9,15639,333,0.05037074382452437,0,15639,15972,15857
8952,f,32,7,6,13317,1015,0.2094878207387597,1,13317,14332,14110
8953,f,18,5,3,7975,269,0.40380221274178607,1,7975,8244,7966
8954,m,32,14,5,12487,1330,0.20664678615731638,0,12487,13817,12813
8955,f,23,4,8,13837,358,0.5015576876221594,0,13837,14195,14212
8956,m,22,10,4,8912,662,0.5319397549823255,0,8912,9574,8709
8957,f,27,6,9,12335,987,0.4839526261430282,1,12335,13322,12586
8958,m,18,5,4,11062,314,0.7499568615312072,1,11062,11376,10772
8959,f,28,13,12,15703,238,0.15265056085809076,0,15703,15941,16452
8960,m,33,11,6,11328,1761,0.18726636444617847,0,11328,13089,12024
8961,m,22,17,1,6729,392,0.198682976625589,0,6729,7121,6856
8962,f,27,7,3,10085,1346,0.435263789205458,0,10085,11431,9724
8963,f,30,13,5,11571,1486,0.3687957232777944,1,11571,13057,13916
8964,f,35,5,8,12457,1418,0.0907828374195962,0,12457,13875,12263
8965,m,36,11,6,14241,721,0.010424061040457809,0,14241,14962,14824
8966,m,24,3,5,12269,706,0.6320676922049503,1,12269,12975,12917
8967,m,27,5,6,11967,1079,0.5373304576661138,0,11967,13046,12760
8968,m,18,12,4,9862,335,0.6367941244351986,1,9862,10197,9712
8969,f,23,0,9,14303,289,0.42117435133310166,0,14303,14592,15046
8970,f,43,17,3,9028,1282,0.0,0,9028,10310,9238
8971,m,20,11,2,8519,443,0.5146197462446277,0,8519,8962,8891
8972,m,42,7,4,9794,1475,0.05111462502603864,0,9794,11269,10169
8973,m,19,11,7,12403,296,0.6970630936870099,1,12403,12699,12859
8974,m,37,14,5,10758,1885,0.06424275293904656,0,10758,12643,11315
8975,f,32,21,3,8940,1783,0.2094888149499604,0,8940,10723,8565
8976,m,47,1,7,14652,243,0.0013420097942481422,0,14652,14895,14590
8977,m,18,6,9,13681,156,0.5171269113494634,1,13681,13837,13397
8978,m,22,17,5,11430,626,0.7230522228444011,0,11430,12056,11817
8979,m,47,9,2,7051,512,0.0,0,7051,7563,6605
8980,m,31,12,5,11143,1678,0.31510192694764727,0,11143,12821,11317
8981,m,35,0,3,10432,1976,0.10821761065338849,0,10432,12408,9817
8982,m,22,12,5,11418,627,0.7211888068099129,0,11418,12045,11298
8983,f,19,9,6,9840,411,0.6378792333142737,0,9840,10251,9334
8984,m,42,10,2,9128,1420,0.0022082340018290316,0,9128,10548,9041
8985,f,29,11,5,11938,1291,0.4149383891142275,1,11938,13229,13166
8986,m,62,3,4,11283,20,0.0020007761410268127,0,11283,11303,11540
8987,m,31,5,7,12524,1261,0.2925190248624308,1,12524,13785,13597
8988,f,38,18,3,8036,1536,0.06421920847570317,0,8036,9572,7793
8989,m,41,8,5,10927,1522,0.03375334321563783,0,10927,12449,11890
8990,m,35,22,4,9968,2000,0.09247249126349347,0,9968,11968,9968
8991,m,38,17,3,10717,1834,0.025617359369090514,0,10717,12551,11888
8992,m,43,10,5,9365,1320,0.0288051108251669,0,9365,10685,10344
8993,f,30,10,2,8365,1485,0.21496404976874026,0,8365,9850,8712
8994,m,24,9,4,11822,783,0.6212731184050376,0,11822,12605,11903
8995,m,40,8,4,11006,1614,0.043812623021171435,0,11006,12620,10638
8996,f,46,8,6,13315,509,0.013032587947835003,0,13315,13824,13008
8997,m,23,24,2,6951,495,0.27846737403094235,1,6951,7446,7148
8998,m,47,9,7,11729,692,0.0,0,11729,12421,11907
8999,m,18,17,9,14922,86,0.3453154606133116,0,14922,15008,15333
9000,f,31,7,2,8894,1698,0.1832379162432823,0,8894,10592,9429
9001,f,18,0,3,9283,327,0.5600860480783887,0,9283,9610,8421
9002,f,18,6,4,9122,322,0.5748210142582368,1,9122,9444,8673
9003,m,28,9,4,10831,1418,0.4357659165132387,1,10831,12249,12263
9004,m,35,9,3,8986,1895,0.07246283305771747,0,8986,10881,8889
9005,f,29,12,2,9799,1598,0.3384561125586675,1,9799,11397,11727
9006,f,49,8,6,14882,156,0.0,0,14882,15038,14167
9007,m,18,0,3,9626,333,0.6230943548463972,1,9626,9959,10276
9008,m,30,14,6,11822,1416,0.3438760428026298,0,11822,13238,11725
9009,m,23,9,10,12267,613,0.6544604795491746,1,12267,12880,12532
9010,m,26,8,7,11391,1084,0.5437627228063988,0,11391,12475,12107
9011,m,24,11,5,12764,614,0.5789343966816382,1,12764,13378,13636
9012,f,26,15,4,9721,1208,0.5003728225331806,0,9721,10929,8884
9013,f,29,14,5,11274,1457,0.4403204200989367,1,11274,12731,12348
9014,m,18,10,5,11545,292,0.7401567840098979,1,11545,11837,11501
9015,m,40,16,6,13907,724,0.008477857551042868,0,13907,14631,14061
9016,m,42,14,2,8762,1362,0.001010302651684808,0,8762,10124,8683
9017,m,31,5,4,10490,1784,0.25241537972602457,1,10490,12274,12409
9018,m,28,7,7,13064,868,0.3863961663473474,0,13064,13932,14178
9019,m,27,8,5,10957,1276,0.5244463491273657,1,10957,12233,12630
9020,f,40,21,4,10484,1689,0.02280468739625647,0,10484,12173,10750
9021,f,20,11,4,10651,486,0.7025448759577917,0,10651,11137,10835
9022,f,35,3,3,10184,1994,0.1189249822577749,0,10184,12178,10053
9023,f,26,15,1,9065,1158,0.4257532641354,0,9065,10223,8921
9024,f,25,6,4,10990,1018,0.5639995882277868,0,10990,12008,11391
9025,f,29,24,4,11818,1324,0.38603663469100347,0,11818,13142,12294
9026,f,32,12,0,2920,119,0.03400081710346204,0,2920,3039,3155
9027,m,18,0,5,11428,298,0.7250757918049848,0,11428,11726,12459
9028,m,20,9,10,13696,230,0.5527112032302622,1,13696,13926,13562
9029,m,24,9,3,9957,947,0.5932839764735272,1,9957,10904,10421
9030,f,33,8,5,12358,1421,0.11483252626339673,0,12358,13779,12551
9031,m,18,15,3,9235,325,0.5688366478017751,1,9235,9560,9420
9032,m,39,13,5,13991,738,0.013735298519179318,0,13991,14729,14681
9033,f,45,17,5,13066,633,0.03276182084120044,0,13066,13699,13039
9034,m,22,13,9,14976,175,0.346737406206001,1,14976,15151,15103
9035,m,30,12,6,13081,1001,0.2799214060940891,1,13081,14082,13712
9036,f,40,3,4,12587,1171,0.04398193863164629,0,12587,13758,13004
9037,m,29,11,7,11749,1343,0.38554406289688264,0,11749,13092,12445
9038,m,27,13,6,13502,673,0.42004270660709586,0,13502,14175,13336
9039,f,39,12,2,8055,1477,0.008050664134390761,0,8055,9532,7302
9040,f,42,13,8,13384,773,0.03237747892757541,0,13384,14157,14006
9041,m,24,1,7,13304,511,0.5234970585123667,1,13304,13815,13087
9042,m,24,12,7,13909,400,0.47921654376378375,0,13909,14309,13837
9043,m,35,7,0,2917,126,0.03164851916553091,0,2917,3043,2694
9044,m,24,13,6,11651,810,0.6639100044856269,1,11651,12461,12940
9045,f,20,16,5,11194,458,0.7406709481978456,1,11194,11652,11651
9046,f,24,15,6,11944,763,0.6159969169113308,1,11944,12707,13184
9047,f,20,9,3,10111,498,0.6849037310493895,0,10111,10609,9952
9048,m,18,5,10,17288,17,0.055046164786419854,0,17288,17305,17044
9049,f,46,10,4,11312,857,0.013814374583336179,0,11312,12169,11271
9050,f,18,9,5,10293,334,0.7324082237808269,1,10293,10627,10931
9051,m,30,15,5,10479,1689,0.30326492921407705,1,10479,12168,12014
9052,f,18,16,5,10662,327,0.7385206255743297,1,10662,10989,11519
9053,m,46,14,5,10915,901,0.031785974138128045,0,10915,11816,10332
9054,f,31,8,4,11275,1648,0.2714177174488963,0,11275,12923,11211
9055,f,45,15,4,11362,968,0.02167978735433286,0,11362,12330,11187
9056,m,22,12,3,9061,672,0.5455527037037597,1,9061,9733,10052
9057,f,54,1,2,10382,213,0.0,0,10382,10595,10022
9058,m,18,4,2,7416,233,0.32174458249658444,0,7416,7649,7286
9059,m,36,3,3,9926,1987,0.1346321667987946,0,9926,11913,8815
9060,m,18,6,6,12277,250,0.7020932933557311,1,12277,12527,12700
9061,f,25,15,2,9347,1055,0.5439718510353102,0,9347,10402,8843
9062,m,29,18,5,12758,1040,0.35396917002097555,0,12758,13798,13062
9063,f,30,8,11,15814,257,0.10075297642006512,0,15814,16071,16032
9064,m,25,9,4,11541,940,0.6126549236962915,1,11541,12481,12748
9065,m,34,7,5,11162,1837,0.16106723993003766,1,11162,12999,13170
9066,m,25,11,2,9370,1057,0.5054416854642891,0,9370,10427,8873
9067,m,44,6,3,10847,1162,0.025244253899213552,0,10847,12009,10531
9068,f,35,12,9,15817,299,0.042270947951847104,0,15817,16116,15106
9069,m,18,17,5,9453,330,0.628525973480605,0,9453,9783,9370
9070,f,34,9,6,11692,1686,0.13769800389416723,0,11692,13378,11640
9071,f,29,8,9,15023,387,0.17811984451113239,0,15023,15410,14389
9072,m,18,10,4,7742,254,0.36622301439956295,0,7742,7996,7301
9073,m,45,8,2,9347,1055,0.0,0,9347,10402,10051
9074,m,20,12,3,10296,495,0.7314946980650116,1,10296,10791,10953
9075,f,31,15,6,11908,1470,0.2611611713879881,1,11908,13378,13373
9076,f,34,3,4,10548,1951,0.1664042544389468,0,10548,12499,10742
9077,m,30,2,3,8915,1611,0.2594690822311077,0,8915,10526,8288
9078,m,38,6,7,12783,1219,0.051657625467858195,0,12783,14002,12381
9079,f,39,13,3,9617,1799,0.060304892990510464,0,9617,11416,9681
9080,f,32,13,3,9331,1849,0.19303995955738354,0,9331,11180,9440
9081,m,20,20,6,11189,459,0.7416328724277699,0,11189,11648,11121
9082,m,31,14,3,9672,1802,0.2822927791570722,0,9672,11474,9215
9083,m,42,9,4,10737,1430,0.029814914744435275,0,10737,12167,10443
9084,f,29,3,6,14042,637,0.24495411310684256,0,14042,14679,14367
9085,f,18,10,3,8835,312,0.5470866158305197,1,8835,9147,9382
9086,m,41,11,8,14207,590,0.03787599775499324,0,14207,14797,14027
9087,f,25,9,4,10076,1078,0.5679743082395667,1,10076,11154,12034
9088,f,39,8,6,12040,1428,0.05128987425951086,0,12040,13468,12219
9089,m,24,12,4,9005,899,0.49711080120734263,1,9005,9904,10087
9090,m,35,11,6,11114,1859,0.13511143658072744,0,11114,12973,10630
9091,m,27,19,7,11869,1102,0.5157884896374483,1,11869,12971,13645
9092,f,24,7,8,13603,455,0.52979765756347,0,13603,14058,13208
9093,m,35,13,2,9873,1998,0.0997951919623973,0,9873,11871,9448
